,project_id,state,bead_support,estimated_miles_aerial_fiber,estimated_miles_buried_fiber,estimated_jobs,project_type,priority_broadband_project,funded_locations,funded_cai,dominant_technology,avg_download_speed,avg_upload_speed,state_num_providers
1179,CM61-BEAD-PA-202508015031,PA,2704952.0,0.0,71.0,25.0,L,True,301,1,50.0,1000.0,1000.0,15
1180,CM61-BEAD-PA-202507314776,PA,1784540.0,0.0,0.0,6.0,L,True,791,0,72.0,249.0,99.0,15
1181,CM61-BEAD-PA-202507314778,PA,724165.0,0.0,0.0,1.0,L,True,380,0,72.0,249.0,99.0,15
1182,CM61-BEAD-PA-202507314683,PA,73529.0,0.0,0.0,2.0,L,True,44,0,72.0,249.0,99.0,15
1183,CM61-BEAD-PA-202502064156,PA,3019333.0,54.0,24.0,0.0,L,True,213,0,50.0,940.0,880.0,15
1184,CM61-BEAD-PA-202502064176,PA,887981.0,15.0,3.0,0.0,L,True,115,0,50.0,940.0,880.0,15
1185,CM61-BEAD-PA-202508015072,PA,3514688.0,57.0,22.0,0.0,L,True,452,1,50.0,1000.0,1000.0,15
1186,CM61-BEAD-PA-202508015126,PA,711936.0,39.0,3.0,0.0,L,True,149,0,50.0,1000.0,1000.0,15
1187,CM61-BEAD-PA-202502064119,PA,157739.0,1.0,4.0,0.0,L,True,52,3,50.0,943.4615384615385,886.9230769230769,15
1188,CM61-BEAD-PA-202508015056,PA,3207839.0,38.0,8.0,0.0,L,True,165,28,50.0,1000.0,1000.0,15
1189,CM61-BEAD-PA-202508015066,PA,1494158.0,34.0,21.0,0.0,L,True,108,6,50.0,1000.0,1000.0,15
1190,CM61-BEAD-PA-202508015135,PA,6295121.0,21.0,13.0,0.0,L,True,456,9,50.0,1000.0,1000.0,15
1191,CM61-BEAD-PA-202502064160,PA,8937021.0,219.0,13.0,0.0,L,True,690,2,50.0,940.1739130434783,880.3478260869565,15
1192,CM61-BEAD-PA-202508015096,PA,2334067.0,77.0,3.0,0.0,L,True,202,67,50.0,1000.0,1000.0,15
1193,CM61-BEAD-PA-202502064133,PA,17659361.0,325.0,56.0,0.0,L,True,1619,4,50.0,940.1482396541074,880.296479308215,15
1194,CM61-BEAD-PA-202508015133,PA,2046489.0,97.0,29.0,0.0,L,True,189,21,50.0,1000.0,1000.0,15
1195,CM61-BEAD-PA-202508015060,PA,7433406.0,122.0,3.0,0.0,L,True,760,3,50.0,1000.0,1000.0,15
1196,CM61-BEAD-PA-202508015061,PA,19885249.0,671.0,60.0,0.0,L,True,2144,11,50.0,1000.0,1000.0,15
1197,CM61-BEAD-PA-202508015063,PA,5923430.0,106.0,21.0,0.0,L,True,657,2,50.0,1000.0,1000.0,15
1198,CM61-BEAD-PA-202508015131,PA,4792341.0,186.0,39.0,0.0,L,True,597,48,50.0,1000.0,1000.0,15
1199,CM61-BEAD-PA-202508015129,PA,3078851.0,139.0,51.0,0.0,L,True,451,37,50.0,1000.0,1000.0,15
1200,CM61-BEAD-PA-202508015058,PA,7348188.0,231.0,32.0,0.0,L,True,1151,9,50.0,1000.0,1000.0,15
1201,CM61-BEAD-PA-202502064130,PA,884387.0,22.0,0.0,0.0,L,True,207,1,50.0,940.2898550724638,880.5797101449275,15
1202,CM61-BEAD-PA-202502064191,PA,2886139.0,168.0,28.0,0.0,L,True,699,1,50.0,940.0858369098712,880.1716738197425,15
1203,CM61-BEAD-PA-202502064187,PA,9188486.0,517.0,43.0,0.0,L,True,2269,6,50.0,940.1586602027326,880.3173204054649,15
1204,CM61-BEAD-PA-202502064164,PA,444070.0,32.0,3.0,0.0,L,True,112,6,50.0,943.2142857142856,886.4285714285714,15
1205,CM61-BEAD-PA-202508015134,PA,4008368.0,172.0,14.0,0.0,L,True,1164,0,50.0,1000.0,1000.0,15
1206,CM61-BEAD-PA-202508015111,PA,1654960.0,82.0,12.0,0.0,L,True,505,0,50.0,1000.0,1000.0,15
1207,CM61-BEAD-PA-202507314800,PA,1727845.0,32.74,0.0,5.0,L,True,188,0,50.0,1000.0,1000.0,15
1208,CM61-BEAD-WA-26-96212-003,WA,3099777.0,148.0,37.0,0.0,L,True,558,0,71.0,164.5161290322581,90.25089605734767,15
1209,CM61-BEAD-WA-26-96212-001,WA,2400.0,0.0,0.0,0.0,L,False,4,0,61.0,150.0,20.0,15
1210,CM61-BEAD-WA-26-96212-004,WA,5237081.0,316.0,79.0,0.0,L,True,419,0,71.0,454.4152744630072,405.91885441527444,15
1211,CM61-BEAD-WA-26-96212-381,WA,12000.0,0.0,0.0,0.0,L,False,15,0,61.0,150.0,20.0,15
1212,CM61-BEAD-WA-26-96212-005,WA,5957400.0,342.0,86.0,0.0,L,True,482,2,71.0,365.14522821576764,308.71369294605813,15
