,project_id,state_x,bead_support,estimated_miles_aerial_fiber,estimated_miles_buried_fiber,estimated_jobs,project_type,priority_broadband_project,n_loc_only,n_cai_only,n_both,n_total,frac_competitor_qualifying,frac_competitor_qualifying_any,frac_present_at_location,frac_present_at_location_qualifying,frac_fiber_comp,frac_cable_comp,frac_fw_comp,frac_wired_qualifying,funded_locations,technology,state_y,prov_coverage,provider_id,frn,n_blocks,n_locs,frac_tech_40,frac_tech_50,frac_tech_61,frac_tech_71,geo_n,n_counties,rucc_code_wmean,topography_z_wmean,RRS_wmean,poverty_rate_wmean,POPDEN_RUR_wmean,POPDEN_COU_wmean,no_prior_presence_frac,n_locations,nearest_mi_served_same_isp,nearest_mi_served_any,total_fiber_miles,pct_aerial,miles_per_location,pct_cai,jobs_per_location,has_incumbent,funding_per_location,log_funding
37,CM61-BEAD-OR-85399,OR,980000.0,13.0,3.0,4.0,L,True,196,0,0,196,0.26530612244897955,1.0,0.19897959183673472,0.19897959183673472,0.0,0.06122448979591836,0.4387755102040817,0.06122448979591836,196,50.0,OR,19.406262032111567,190126.0,0001566306,34.0,196,0.0,1.0,0.0,0.0,1120,1.0,2.0,1.83868,2.0543478260869565,0.15343050181225515,15.491651291178199,84.094306576233,0.0,196,0.4682375118226356,0.21155697940640725,16.0,0.8125,0.08163265306122448,0.0,0.02040816326530612,1,5000.0,8.517393171418904
38,CM61-BEAD-OR-85554,OR,462500.0,13830.0,5843.0,0.0,L,True,25,0,0,25,0.36,1.0,0.76,0.76,0.0,0.12,1.0,0.12,25,50.0,OR,41.81709930935937,300066.0,0013769708,9.0,25,0.0,1.0,0.0,0.0,221,1.0,3.0,1.8386800000000003,3.0,0.15593317641655663,23.5644027565606,53.7580081406868,0.0,25,0.09463049845999501,0.03725353991528174,19673.0,0.702993951100493,786.92,0.0,0.0,1,18500.0,9.825580063659602
39,CM61-BEAD-OR-85581,OR,690220.3,0.0,14.0,0.0,L,True,203,1,0,204,0.10344827586206896,1.0,0.9704433497536945,0.09359605911330049,0.004926108374384236,0.0,0.47783251231527096,0.004926108374384236,203,50.0,OR,89.53865924180766,131046.0,0001565316,27.0,203,0.0,1.0,0.0,0.0,1228,1.0,3.0,1.6870199999999997,2.0454545454545454,0.1820275472285886,28.3116182485136,140.97618164109,0.0,203,0.3584465705290553,0.28779406386075035,14.0,0.0,0.06896551724137931,0.004901960784313725,0.0,1,3400.1000000000004,8.131854187691662
40,CM61-BEAD-OR-85620,OR,12515702.54,98.0,39.0,56.0,L,False,1426,5,0,1431,0.7433380084151473,1.0,0.0,0.0,0.682328190743338,0.009817671809256665,0.7047685834502103,0.6900420757363253,1426,50.0,OR,0.0,130079.0,0036641165,118.0,1426,0.0,0.8835904628330996,0.0,0.11640953716690042,9796,1.0,2.0,1.6870200000000002,2.125,0.1266445486786409,24.6568689280179,118.006074950843,0.0,1427,4.296695039384503,0.09444458250264245,137.0,0.7153284671532847,0.09607293127629733,0.0034940600978336828,0.03927068723702665,0,8776.789999999999,9.079979946517033
41,CM61-BEAD-OR-85643,OR,13939085.04,158.0,30.0,56.0,L,True,1614,0,0,1614,0.3866171003717471,1.0,0.0,0.0,0.002478314745972739,0.006195786864931849,0.6239157372986369,0.008674101610904586,1614,50.0,OR,0.0,130079.0,0036641165,178.0,1614,0.0,0.9144981412639405,0.0,0.08550185873605948,8477,1.0,1.0,1.68702,1.7894736842105263,0.10250717443574033,41.3094932031814,150.462857673655,0.0,1614,12.608649138614137,0.23060443420487262,188.0,0.8404255319148937,0.11648079306071871,0.0,0.03469640644361834,0,8636.359999999999,9.063852259550936
42,CM61-BEAD-OR-85652,OR,1312438.6,0.0,27.0,0.0,L,True,386,0,0,386,0.05699481865284974,1.0,0.9948186528497409,0.018134715025906734,0.0025906735751295338,0.023316062176165803,0.5595854922279793,0.025906735751295335,386,50.0,OR,99.40950391502317,131046.0,0001565316,61.0,386,0.0,1.0,0.0,0.0,2193,2.0,4.567715458276334,1.7088734245326038,3.434339829629189,0.1581131157539709,19.36934712212154,56.08737368559748,0.0,386,0.3686872722087621,0.30912152750085325,27.0,0.0,0.06994818652849741,0.0,0.0,1,3400.1000000000004,8.131854187691662
43,CM61-BEAD-OR-85653,OR,17000.5,0.0,1.0,0.0,L,True,5,0,0,5,0.4,1.0,1.0,0.2,0.0,0.0,0.8,0.0,5,50.0,OR,100.0,131046.0,0001565316,3.0,5,0.0,1.0,0.0,0.0,32,1.0,3.0,1.68702,2.0454545454545454,0.1820275472285886,28.3116182485136,140.97618164109,0.0,5,0.1264037682244111,0.12369425108929613,1.0,0.0,0.2,0.0,0.0,1,3400.1,8.131854187691662
44,CM61-BEAD-OR-85654,OR,13600.4,0.0,1.0,0.0,L,True,4,0,0,4,0.0,1.0,1.0,0.25,0.0,0.0,0.5,0.0,4,50.0,OR,100.0,131046.0,0001565316,3.0,4,0.0,1.0,0.0,0.0,23,1.0,2.0,1.8386800000000003,2.0543478260869565,0.15343050181225515,15.4916512911782,84.094306576233,0.0,4,0.1252314751889708,0.1252314751889708,1.0,0.0,0.25,0.0,0.0,1,3400.1,8.131854187691662
45,CM61-BEAD-OR-85661,OR,1594651.59,0.0,33.0,0.0,L,True,469,2,0,471,0.06823027718550106,1.0,0.997867803837953,0.15138592750533053,0.0,0.0042643923240938165,0.7292110874200426,0.0042643923240938165,469,50.0,OR,99.76190476190477,131046.0,0001565316,54.0,469,0.0,1.0,0.0,0.0,3049,1.0,3.0,1.68702,2.0454545454545454,0.18202754722858858,28.3116182485136,140.97618164109,0.0,469,0.36201366904133425,0.25958709702968147,33.0,0.0,0.07036247334754797,0.004246284501061571,0.0,1,3400.11,8.13185712791256
46,CM61-BEAD-OR-85662,OR,741221.8,0.0,16.0,0.0,L,True,218,3,0,221,0.4678899082568807,1.0,0.9816513761467889,0.0,0.0,0.0,0.5596330275229359,0.0,218,50.0,OR,97.97400611620795,131046.0,0001565316,30.0,218,0.0,1.0,0.0,0.0,1327,1.0,3.0,1.6870199999999997,2.0454545454545454,0.1820275472285886,28.3116182485136,140.97618164109,0.0,219,0.45043463842031667,0.19629255661953565,16.0,0.0,0.07339449541284404,0.013574660633484163,0.0,1,3400.1000000000004,8.131854187691662
